Delta Mass,USI,Charge,Cosine,Matching Peaks,Dataset,Status
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_D2_P1-D-2_01_31677.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_H10_P2-H-10_01_31777.mzML:scan:172,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000084900:G86917_1x_BG3_01_26633.mzML:scan:212,1,0.96,4,MSV000084900,NoID
0,mzspec:MSV000082969:G84754_BH3_01_36984.mzML:scan:858,1,0.96,4,MSV000082969,NoID
-1,mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_A5_P1-A-5_01_28685.mzML:scan:130,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082221:PLCL18867_BA10_01_28122.mzML:scan:213,1,0.96,4,MSV000082221,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_C6_P2-C-6_01_31642.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_H7_P2-H-7_01_31774.mzML:scan:173,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000084900:G96227_5x_BG8_01_32552.mzML:scan:257,1,0.96,5,MSV000084900,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_C11_P2-C-11_01_31647.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_C4_P2-C-4_01_31640.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_A6_P1-A-6_01_31603.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_C9_P2-C-9_01_31645.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_B4_P1-B-4_01_31627.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000084900:G75572_5x_RA9_01_20128.mzML:scan:207,1,0.96,4,MSV000084900,NoID
-1,mzspec:MSV000082423:G96230_5x_RH10_01_32501.mzML:scan:254,1,0.96,4,MSV000082423,NoID
-1,mzspec:MSV000084900:G96255_5x_BH7_01_32564.mzML:scan:251,1,0.96,4,MSV000084900,NoID
-1,mzspec:MSV000082969:G85356_BE2_01_37153.mzML:scan:135,1,0.96,4,MSV000082969,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_D1_P1-D-1_01_31676.mzML:scan:153,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_H12_P1-H-12_01_31792.mzML:scan:167,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000085120:BAX392_2x_GD7_01_23626.mzML:scan:197,1,0.96,5,MSV000085120,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_D8_P2-D-8_01_31670.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082074:G79630_1x_rerun_RB10_01_23313.mzML:scan:276,1,0.96,4,MSV000082074,NoID
-1,mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_G6_P1-G-6_01_28842.mzML:scan:131,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000084900:18NAVY30_v1_lun_9_BF9_01_39720.mzML:scan:405,1,0.96,4,MSV000084900,NoID
-1.01,mzspec:MSV000082481:24hrs_3Crt_HenTrial1_A11_P1-A-11_01_28237.mzML:scan:126,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_G8_P1-G-8_01_31762.mzML:scan:170,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_A3_P1-A-3_01_31600.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_B3_P1-B-3_01_31626.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082074:G75572_5x_RA9_01_20128.mzML:scan:207,1,0.96,4,MSV000082074,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_H3_P1-H-3_01_31783.mzML:scan:172,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_C11_P1-C-11_01_31660.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_B2_P2-B-2_01_31612.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_D3_P2-D-3_01_31665.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_D11_P2-D-11_01_31673.mzML:scan:153,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_B10_P1-B-10_01_31633.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_H2_P2-H-2_01_31769.mzML:scan:172,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_D1_P2-D-1_01_31663.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_B1_P1-B-1_01_28707.mzML:scan:130,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_B6_P2-B-6_01_31616.mzML:scan:161,1,0.96,4,MSV000082481,NoID
-0.99,mzspec:MSV000082481:24hrs_7Crtl_HenTrial1_B2_P1-B-2_01_31625.mzML:scan:160,1,0.96,4,MSV000082481,NoID
-1,mzspec:MSV000082969:G85182_RH2_01_36550.mzML:scan:210,1,0.96,4,MSV000082969,NoID
-1,mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_F1_P1-F-1_01_28811.mzML:scan:130,1,0.96,4,MSV000082481,NoID
